Symbol,Long/Short,Entry Date,Average Entry Price,Exit Price,Exit Date,Profit %,Sector,Year,Month,Weekday,Trade Duration
INTC,Long,2022-09-16,26.45,29.44,2022-11-10,11.3,Technology,2022,9,Friday,55.0
NVDA,Long,2022-08-31,127.24,148.24,2022-11-08,16.5,Technology,2022,8,Wednesday,69.0
GSK,Long,2022-08-25,31.3,33.42,2022-10-28,6.77,Healthcare,2022,8,Thursday,64.0
JPM,Long,2022-03-01,128.7,126.1,2022-10-27,-2.02,Financial Services,2022,3,Tuesday,240.0
BOIL,Long,2022-10-21,33.22,36.3,2022-10-24,9.27,Equity / Other,2022,10,Friday,3.0
TXN,Short,2022-08-22,151.65,148.65,2022-10-13,2.02,Technology,2022,8,Monday,52.0
SCO,Long,2022-10-06,22.85,25.54,2022-10-12,11.77,Equity / Other,2022,10,Thursday,6.0
CSX,Short,2020-09-15,28.33,27.42,2022-10-06,3.21,Industrials,2020,9,Tuesday,751.0
OKTA,Long,2022-09-22,53.5,60.05,2022-10-04,12.24,Technology,2022,9,Thursday,12.0
FSLY,Long,2022-09-22,8.15,9.52,2022-10-04,16.81,Technology,2022,9,Thursday,12.0
BIIB,Long,2022-01-27,215.65,303.5,2022-09-28,40.47,Healthcare,2022,1,Thursday,244.0
UCO,Long,2022-09-26,25.22,27.9,2022-09-28,10.63,Equity / Other,2022,9,Monday,2.0
SDS,Long,2022-09-12,41.9,45.22,2022-09-13,7.92,Equity / Other,2022,9,Monday,1.0
QID,Long,2022-09-12,20.64,22.72,2022-09-13,10.08,Other/ETF,2022,9,Monday,1.0
ROKU,Long,2022-09-01,64.75,70.5,2022-09-09,8.88,Communication Services,2022,9,Thursday,8.0
NET,Long,2022-09-06,58.25,64.1,2022-09-09,10.0,Technology,2022,9,Tuesday,3.0
SHOP,Long,2022-09-01,30.05,34.25,2022-09-09,13.98,Technology,2022,9,Thursday,8.0
MSFT,Short,2022-08-10,288.4,261.7,2022-08-30,9.26,Technology,2022,8,Wednesday,20.0
AAPL,Short,2022-08-04,170.16,158.5,2022-08-30,6.85,Technology,2022,8,Thursday,26.0
TSLA,Short,2022-08-10,297.08,275.9,2022-08-30,7.13,Consumer Cyclical,2022,8,Wednesday,20.0
QID,Long,2022-07-11,19.93,21.55,2022-08-29,8.13,Other/ETF,2022,7,Monday,49.0
SDS,Long,2022-08-03,39.15,43.83,2022-08-29,11.95,Equity / Other,2022,8,Wednesday,26.0
BMY,Short,2022-04-01,75.75,66.75,2022-08-29,11.88,Healthcare,2022,4,Friday,150.0
KWEB,Long,2022-08-12,28.6,31.95,2022-08-26,11.71,Equity / Other,2022,8,Friday,14.0
SQ,Long,2022-04-22,72.17,87.0,2022-08-03,20.55,Equity / Other,2022,4,Friday,103.0
AEM,Long,2022-07-21,41.3,44.55,2022-08-02,7.87,Basic Materials,2022,7,Thursday,12.0
WBD,Long,2022-06-16,13.83,15.97,2022-08-02,15.47,Communication Services,2022,6,Thursday,47.0
PYPL,Long,2022-04-20,84.42,98.12,2022-08-02,16.23,Financial Services,2022,4,Wednesday,104.0
